  0 3 3 3 2 1 2 3 3 3 0 
  3 2 2 2 0 2 0 2 2 2 3 
  3 2 2 3 1 3 1 3 2 2 3 
  3 2 3 2 3 1 3 2 3 2 3 
  2 0 1 3 2 2 2 3 1 0 2 
  1 2 3 1 2 0 2 1 3 2 1 
  2 0 1 3 2 2 2 3 1 0 2 
  3 2 3 2 3 1 3 2 3 2 3 
  3 2 2 3 1 3 1 3 2 2 3 
  3 2 2 2 0 2 0 2 2 2 3 
  0 3 3 3 2 1 2 3 3 3 0 

Grains:
  Total count of grains: 244
  Average height of non-empty cells: 2.25926
  Average height of all cells: 2.01653

Avalanches
  Total count: 250
  Average size: 143.184
  Average time: 35.796
Avalanche data (csv):
Turn;Time;Size
3;1;4
7;1;4
11;1;4
15;6;24
19;1;4
23;1;4
27;10;40
31;6;24
35;1;4
39;1;4
43;19;76
47;1;4
51;1;4
55;31;124
59;6;24
63;1;4
67;1;4
71;10;40
75;31;124
79;1;4
83;1;4
87;52;208
91;1;4
95;1;4
99;39;156
103;6;24
107;1;4
111;1;4
115;31;124
119;10;40
123;1;4
127;67;268
131;19;76
135;1;4
139;1;4
143;55;220
147;6;24
151;1;4
155;1;4
159;84;336
163;27;108
167;1;4
171;1;4
175;133;532
179;1;4
183;1;4
187;76;304
191;6;24
195;1;4
199;1;4
203;79;316
207;109;436
211;1;4
215;43;172
219;6;24
223;1;4
227;1;4
231;61;244
235;6;24
239;1;4
243;1;4
247;134;536
251;10;40
255;1;4
259;22;88
263;149;596
267;1;4
271;1;4
275;206;824
279;6;24
283;1;4
287;1;4
291;35;140
295;35;140
299;1;4
303;10;40
307;6;24
311;1;4
315;1;4
319;273;1092
323;6;24
327;1;4
331;1;4
335;132;528
339;10;40
343;1;4
347;18;72
351;104;416
355;1;4
359;1;4
363;10;40
367;6;24
371;1;4
375;1;4
379;203;812
383;21;84
387;1;4
391;239;956
395;30;120
399;1;4
403;1;4
407;108;432
411;83;332
415;1;4
419;1;4
423;150;600
427;10;40
431;1;4
435;10;40
439;6;24
443;1;4
447;1;4
451;149;596
455;6;24
459;1;4
463;1;4
467;31;124
471;244;976
475;1;4
479;22;88
483;68;272
487;1;4
491;1;4
495;10;40
499;157;628
503;1;4
507;1;4
511;137;548
515;14;56
519;1;4
523;127;508
527;6;24
531;1;4
535;1;4
539;88;352
543;6;24
547;1;4
551;1;4
555;110;440
559;10;40
563;1;4
567;228;912
571;19;76
575;1;4
579;1;4
583;10;40
587;6;24
591;1;4
595;1;4
599;253;1012
603;18;72
607;1;4
611;150;600
615;6;24
619;1;4
623;1;4
627;69;276
631;98;392
635;1;4
639;1;4
643;31;124
647;10;40
651;1;4
655;10;40
659;6;24
663;1;4
667;1;4
671;241;964
675;6;24
679;1;4
683;1;4
687;233;932
691;14;56
695;1;4
699;200;800
703;6;24
707;1;4
711;1;4
715;59;236
719;39;156
723;1;4
727;1;4
731;44;176
735;1;4
739;1;4
743;257;1028
747;6;24
751;1;4
755;1;4
759;31;124
763;6;24
767;1;4
771;1;4
775;263;1052
779;10;40
783;1;4
787;64;256
791;6;24
795;1;4
799;1;4
803;155;620
807;6;24
811;1;4
815;1;4
819;267;1068
823;21;84
827;1;4
831;94;376
835;6;24
839;1;4
843;1;4
847;10;40
851;160;640
855;1;4
859;1;4
863;109;436
867;1;4
871;1;4
875;35;140
879;6;24
883;1;4
887;1;4
891;80;320
895;6;24
899;1;4
903;1;4
907;269;1076
911;14;56
915;1;4
919;161;644
923;6;24
927;1;4
931;1;4
935;84;336
939;27;108
943;1;4
947;1;4
951;19;76
955;1;4
959;1;4
963;235;940
967;6;24
971;1;4
975;1;4
979;10;40
983;253;1012
987;1;4
991;1;4
995;31;124
999;108;432
